Date,Open,High,Low,Close,Volume,
8/19/2004,50.06,52.08,48.03,50.22,22353092,3071
8/20/2004,50.79,54.59,50.3,54.21,11429498,3070
8/23/2004,55.44,56.8,54.58,54.75,9140244,3069
8/24/2004,55.68,55.86,51.84,52.49,7632224,3068
8/25/2004,52.53,54.05,51.99,53.05,4599110,3067
8/26/2004,52.53,54.03,52.38,54.01,3551168,3066
8/27/2004,54.1,54.36,52.9,53.13,3108977,3065
8/30/2004,52.8,52.8,51.06,51.06,2601620,3064
8/31/2004,51.21,51.91,51.13,51.24,2463427,3063
9/1/2004,51.4,51.54,49.88,50.18,4574578,3062
9/2/2004,49.59,51.24,49.52,50.81,7567013,3061
9/3/2004,50.53,50.92,49.71,50.06,2578705,3060
9/7/2004,50.56,51.05,49.85,50.84,2927073,3059
9/8/2004,50.42,51.57,50.3,51.2,2495226,3058
9/9/2004,51.3,51.41,50.55,51.21,2032853,3057
9/10/2004,50.85,53.33,50.7,52.72,4353885,3056
9/13/2004,53.37,54.26,53.28,53.8,3927322,3055
9/14/2004,53.77,56.06,53.45,55.8,5488357,3054
9/15/2004,55.34,57.17,55.16,56.06,5362452,3053
9/16/2004,56.23,57.96,55.88,57.04,4637786,3052
9/17/2004,57.27,58.8,56.83,58.8,4748627,3051
9/20/2004,58.53,60.86,58.44,59.74,5332562,3050
9/21/2004,60.16,60.27,58.81,58.98,3617903,3049
9/22/2004,58.78,59.89,58.46,59.25,3794393,3048
9/23/2004,59.48,61.38,58.57,60.47,4273082,3047
9/24/2004,60.55,62.11,59.94,59.97,4566707,3046
9/27/2004,59.84,60.5,58.96,59.19,3536818,3045
9/28/2004,60.64,63.76,60.17,63.49,8476027,3044
9/29/2004,63.33,67.58,63.18,65.61,15274991,3043
9/30/2004,65.01,66.22,64.56,64.86,6890125,3042
10/1/2004,65.47,67.19,64.51,66.36,7571329,3041
10/4/2004,67.98,68.5,67.08,67.6,6541875,3040
10/5/2004,67.4,69.33,66.19,69.25,7507251,3039
10/6/2004,68.9,69.29,68.07,68.61,6699883,3038
10/7/2004,68.35,70.01,68.34,69.49,7066873,3037
10/8/2004,69.43,69.91,68.58,68.93,5543874,3036
10/11/2004,68.57,69.5,66.99,67.7,5249263,3035
10/12/2004,67.31,68.87,66.77,68.77,5920143,3034
10/13/2004,71.73,71.85,70.11,70.52,9894833,3033
10/14/2004,70.58,71.26,69.35,71.07,5234304,3032
10/15/2004,72.55,72.82,71.05,72.13,6604448,3031
10/18/2004,71.67,74.67,70.68,74.65,7032780,3030
10/19/2004,75.33,76.28,73.75,74.04,9069401,3029
10/20/2004,74.04,74.57,69.87,70.32,11389627,3028
10/21/2004,72.14,75.14,70.88,74.76,14998000,3027
10/22/2004,85.3,90.18,82.12,86.3,36919841,3026
10/25/2004,88.23,97.31,86.36,93.79,32775277,3025
10/26/2004,93.32,96.42,90.09,90.99,22313860,3024
10/27/2004,91.24,94.85,90.98,93.08,13373482,3023
10/28/2004,93.41,97.29,92.89,96.75,14856604,3022
10/29/2004,99.53,100.07,95.4,95.42,21183466,3021
11/1/2004,96.85,98.93,95.73,98.11,12233618,3020
11/2/2004,99.46,99.72,96.77,97.53,11365995,3019
11/3/2004,99.19,100.9,95.47,95.93,13897606,3018
11/4/2004,94.22,95.3,91.77,92.44,14474388,3017
11/5/2004,91.09,91.24,84.36,84.76,19852002,3016
11/8/2004,85.55,87.81,84.78,86.36,11200077,3015
11/9/2004,87.14,87.69,82.72,84.43,11160536,3014
11/10/2004,85.42,86.35,83.25,84.01,10651413,3013
11/11/2004,84.65,91.97,83.87,91.6,15023209,3012
11/12/2004,92.71,94.99,88.79,91.09,16746068,3011
11/15/2004,90.32,94.25,89.46,92.53,11901512,3010
11/16/2004,88.84,89.82,85.5,86.36,20928809,3009
11/17/2004,84.59,88.84,84.58,86.34,18137867,3008
11/18/2004,85.29,87.3,82.95,83.85,16633270,3007
11/19/2004,84.61,85.07,83.34,84.78,8816609,3006
11/22/2004,84.41,84.84,80.74,82.63,12372104,3005
11/23/2004,84.04,85.5,83.33,83.84,12426573,3004
11/24/2004,87.51,88.69,86.34,87.47,15290473,3003
11/26/2004,87.99,90.11,87.75,89.78,6480025,3002
11/29/2004,90.22,91.57,88.84,90.62,10669849,3001
11/30/2004,90.44,91.59,90.22,91.08,7745574,3000
12/1/2004,90.98,91.34,89.86,90.07,7868147,2999
12/2/2004,90.04,90.85,89.36,89.79,6270626,2998
12/3/2004,90.09,90.62,88.89,90.29,5873733,2997
12/6/2004,89.65,90.44,88.1,88.23,6257535,2996
12/7/2004,88.09,88.19,85.36,85.8,6872138,2995
12/8/2004,85.37,86.93,84.45,85.07,7542204,2994
12/9/2004,85.21,86.84,84.32,86.8,7654902,2993
12/10/2004,86.8,87.53,85.73,85.91,4320465,2992
12/13/2004,86.1,86.68,84.81,85.31,4818789,2991
12/14/2004,85.59,89.5,84.88,89.43,11102401,2990
12/15/2004,89.08,90.44,88.42,89.98,11545863,2989
12/16/2004,88.7,90.34,88.06,88.32,8577261,2988
12/17/2004,88.47,90.34,88.36,90.13,7417654,2987
12/20/2004,91.09,94.32,91.03,92.6,9840211,2986
12/21/2004,93.23,94.03,91.79,91.97,5524667,2985
12/22/2004,92.04,93.52,91.6,93.24,3910203,2984
12/23/2004,93.82,94.39,93.09,94.04,3615676,2983
12/27/2004,94.67,96.75,94.64,96.05,6105595,2982
12/28/2004,96.15,96.87,95.6,96.48,4148098,2981
12/29/2004,96.08,96.86,95.99,96.55,2679281,2980
12/30/2004,96.58,99.21,96.02,98.9,5904978,2979
12/31/2004,99.71,100.04,96.38,96.49,7677229,2978
1/3/2005,98.8,101.92,97.83,101.46,15860692,2977
1/4/2005,100.77,101.57,96.84,97.35,13762396,2976
1/5/2005,96.82,98.55,96.21,96.85,8239545,2975
1/6/2005,97.72,98.05,93.95,94.37,10389803,2974
